Nombre / Inventario,Fecha,Pais,Tipo de Objeto,Estructura Imagen (JSON/Link)
"MRZ Inv.Nr. 2025.1171, Vier zusammengenähte Textilstücke",Ano 1001,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/1/18/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1171-Vier-zusammengen%C3%A4hte-Textilst%C3%BCcke.jpg""}"
"MRZ Inv.Nr. 2025.1162, Gürtel",Desconocida,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/6/6c/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1162-G%C3%BCrtel.jpg""}"
"MRZ Inv.Nr. 2025.1163, Bordüre / Gürtel",Desconocida,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/7e/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1163-Bord%C3%BCre-G%C3%BCrtel.jpg""}"
"MRZ Inv.Nr. 2025.1164, Gürtel",Desconocida,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/f/f0/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1164-G%C3%BCrtel.jpg""}"
"MRZ Inv.Nr. 2025.1165, Gürtel",Ano 1,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/0/01/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1165-G%C3%BCrtel.jpg""}"
"MRZ Inv.Nr. 2025.1166, Chumpi (Schärpe) mit Medaillons und Quasten",Desconocida,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/5/58/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1166-Chumpi-%28Sch%C3%A4rpe%29-mit-Medaillons-und-Quasten.jpg""}"
"MRZ Inv.Nr. 2025.1167, Textiler Kopf eines Bestattungsbündels",Desconocida,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/2/21/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1167-Textiler-Kopf-eines-Bestattungsb%C3%BCndels.jpg""}"
"MRZ Inv.Nr. 2025.1168, Gürtel",Ano 1,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/7a/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1168-G%C3%BCrtel.jpg""}"
"MRZ Inv.Nr. 2025.1172, Gewebe mit Tiermuster",Desconocida,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/4/48/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1172-Gewebe-mit-Tiermuster.jpg""}"
"MRZ Inv.Nr. 2025.1169, Gürtel",Desconocida,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/0/0b/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1169-G%C3%BCrtel.jpg""}"
